23:05:06.712 -> 0.54,-0.15,0.76,-3.30,-78.00,-48.40
23:05:06.807 -> 0.62,-0.10,0.68,-27.47,-54.99,-37.17
23:05:06.903 -> 0.65,-0.14,0.60,-16.66,-52.31,-29.36
23:05:06.999 -> 0.70,-0.14,0.48,-8.73,-50.17,-20.87
23:05:07.101 -> 0.72,-0.09,0.39,5.55,-47.61,-6.71
23:05:07.187 -> 0.90,-0.18,0.34,-19.84,-44.86,3.36
23:05:07.270 -> 1.00,-0.22,0.29,0.49,-39.12,-14.53
23:05:07.403 -> 1.00,-0.09,0.25,-10.68,-28.75,-16.36
23:05:07.499 -> 0.95,-0.06,0.19,2.01,-30.15,-14.47
23:05:07.594 -> 0.99,-0.04,-0.01,4.94,-19.35,-6.65
23:05:07.683 -> 1.05,0.04,-0.09,9.03,41.75,10.25
23:05:07.779 -> 0.91,-0.04,0.05,-38.82,94.12,41.75
23:05:07.873 -> 0.84,-0.09,0.28,-24.66,98.69,65.37
23:05:07.971 -> 0.72,-0.20,0.48,18.13,88.75,79.41
23:05:08.094 -> 0.41,-0.33,0.74,31.43,79.53,86.55
23:05:08.189 -> 0.19,-0.46,0.78,37.90,87.77,81.48
23:05:08.282 -> -0.03,-0.52,1.03,11.72,76.66,69.15
23:05:08.371 -> -0.11,-0.64,1.04,6.53,45.04,38.82
23:05:08.467 -> -0.19,-0.53,1.07,15.75,14.34,6.71
23:05:08.608 -> -0.18,-0.53,1.11,12.21,-13.85,-15.63
23:05:08.703 -> -0.08,-0.49,1.09,3.11,-41.20,-35.58
23:05:08.799 -> 0.06,-0.48,1.01,3.23,-84.53,-62.44
23:05:08.895 -> 0.31,-0.35,0.86,12.76,-99.12,-68.60
23:05:08.991 -> 0.52,-0.26,0.75,11.41,-93.63,-62.32
23:05:09.085 -> 0.62,-0.15,0.59,20.45,-77.58,-48.34
23:05:09.181 -> 0.77,-0.02,0.53,17.21,-67.08,-29.91
23:05:09.277 -> 0.86,-0.03,0.48,11.96,-55.97,-17.40
23:05:09.409 -> 0.90,-0.04,0.36,13.43,-56.82,-12.70
23:05:09.505 -> 0.94,-0.04,0.27,10.07,-52.37,-11.47
23:05:09.601 -> 0.95,0.02,0.17,3.30,-36.93,-9.64
23:05:09.698 -> 0.96,0.00,0.14,-8.79,-25.15,-9.34
23:05:09.793 -> 1.00,0.07,-0.01,16.97,-5.13,-8.48
23:05:09.888 -> 1.03,0.07,-0.03,-16.78,19.41,2.56
23:05:09.984 -> 1.01,0.10,-0.03,0.00,47.55,10.50
23:05:10.081 -> 0.88,0.12,0.19,-23.13,88.26,39.61
23:05:10.177 -> 0.77,-0.20,0.43,-11.90,85.57,63.05
23:05:10.273 -> 0.61,-0.24,0.56,-15.14,102.60,78.67
23:05:10.369 -> 0.38,-0.38,0.76,6.65,112.24,71.90
23:05:10.465 -> 0.17,-0.51,0.84,27.53,110.53,49.93
23:05:10.607 -> 0.01,-0.42,1.05,23.13,82.28,26.61
23:05:10.698 -> -0.07,-0.37,1.13,27.16,29.05,5.31
23:05:10.784 -> -0.03,-0.29,1.10,25.27,16.60,-3.36
23:05:10.877 -> -0.08,-0.31,1.15,1.10,3.30,-3.42
23:05:10.973 -> -0.08,-0.37,1.20,-13.79,-32.47,-14.83
23:05:11.070 -> -0.00,-0.37,1.07,7.87,-99.06,-47.49
23:05:11.205 -> 0.25,-0.25,0.85,12.51,-115.48,-57.13
23:05:11.301 -> 0.53,-0.15,0.75,9.34,-96.13,-51.64
23:05:11.387 -> 0.66,-0.14,0.71,-10.74,-78.74,-41.87
23:05:11.482 -> 0.73,-0.07,0.58,4.15,-75.93,-39.92
23:05:11.577 -> 0.81,0.00,0.46,-0.73,-62.62,-29.48
23:05:11.707 -> 0.90,0.03,0.34,-6.10,-50.23,-22.28
23:05:11.803 -> 0.93,0.05,0.26,-7.20,-44.92,-20.26
23:05:11.900 -> 0.98,0.10,0.10,19.90,-32.41,-17.82
23:05:11.996 -> 0.99,0.18,0.01,5.74,-10.38,-8.12
23:05:12.083 -> 1.02,0.20,-0.04,2.93,24.60,1.83
23:05:12.179 -> 0.97,0.22,0.04,-31.80,82.89,30.52
23:05:12.278 -> 0.79,0.13,0.31,-49.13,124.27,67.38
23:05:12.373 -> 0.60,-0.17,0.59,-39.79,120.24,99.12
23:05:12.469 -> 0.41,-0.32,0.69,9.77,112.37,98.88
23:05:12.566 -> 0.06,-0.44,0.87,12.45,115.30,87.46
23:05:12.708 -> -0.18,-0.48,0.99,23.44,93.57,62.19
23:05:12.804 -> -0.33,-0.50,1.09,13.43,52.12,31.62
23:05:12.898 -> -0.34,-0.42,1.12,10.44,10.07,5.55
23:05:12.995 -> -0.34,-0.47,1.14,10.07,-33.14,-25.94
23:05:13.089 -> -0.18,-0.48,1.14,24.54,-115.84,-85.57
23:05:13.186 -> 0.15,-0.27,0.97,19.35,-143.74,-98.08
23:05:13.281 -> 0.46,-0.11,0.77,14.04,-115.84,-70.43
23:05:13.366 -> 0.68,0.02,0.65,-16.97,-75.68,-40.53
23:05:13.509 -> 0.76,-0.01,0.62,-19.47,-54.02,-25.27
23:05:13.605 -> 0.83,-0.03,0.54,-14.89,-51.82,-18.98
23:05:13.701 -> 0.81,-0.03,0.44,-7.51,-50.72,-18.62
23:05:13.796 -> 0.86,-0.00,0.32,1.28,-47.49,-17.15
23:05:13.891 -> 0.90,0.02,0.19,24.60,-38.39,-13.61
23:05:13.987 -> 0.97,0.11,0.07,23.68,-14.04,-2.87
23:05:14.082 -> 1.01,0.08,0.08,-13.00,18.80,8.73
23:05:14.177 -> 0.95,0.10,0.09,-4.09,61.71,19.96
23:05:14.273 -> 0.76,-0.01,0.24,-7.39,109.07,49.19
23:05:14.369 -> 0.62,-0.09,0.56,-30.70,153.14,76.23
23:05:14.513 -> 0.31,-0.32,0.99,-24.60,125.79,86.12
23:05:14.588 -> 0.13,-0.32,0.99,22.46,71.11,69.46
23:05:14.683 -> 0.03,-0.36,1.01,53.04,37.72,41.93
23:05:14.766 -> 0.00,-0.31,1.06,23.38,34.30,22.40
23:05:14.908 -> -0.08,-0.21,1.05,13.92,43.40,10.01
23:05:15.001 -> -0.19,-0.20,1.07,2.20,42.30,4.76
23:05:15.084 -> -0.20,-0.18,1.07,-5.25,20.57,-0.24
23:05:15.174 -> -0.25,-0.28,1.15,-10.93,-11.47,-9.83
23:05:15.268 -> -0.23,-0.35,1.24,-22.03,-88.87,-33.39
23:05:15.365 -> 0.01,-0.29,1.10,7.57,-157.53,-65.06
23:05:15.499 -> 0.40,-0.15,0.79,-2.38,-155.09,-54.44
23:05:15.594 -> 0.63,-0.08,0.57,3.97,-120.24,-36.07
23:05:15.674 -> 0.71,-0.05,0.40,14.47,-99.18,-14.22
23:05:15.769 -> 0.93,-0.11,0.30,-8.73,-76.35,-3.30
23:05:15.865 -> 0.99,-0.14,0.20,-20.08,-51.39,-4.33
23:05:16.011 -> 0.96,-0.09,0.13,-25.70,-30.76,-3.11
23:05:16.105 -> 0.94,-0.10,0.07,-11.23,-22.09,-5.37
23:05:16.201 -> 0.95,-0.08,-0.02,-6.53,-8.06,-5.25
23:05:16.295 -> 1.02,-0.05,-0.05,2.99,18.80,3.54
23:05:16.391 -> 1.03,-0.07,-0.01,7.08,49.01,13.61
23:05:16.488 -> 0.91,-0.01,0.05,26.86,101.07,28.75
23:05:16.585 -> 0.70,-0.12,0.29,21.30,154.36,56.03
23:05:16.681 -> 0.34,-0.20,0.67,52.06,182.74,56.82
23:05:16.777 -> 0.06,-0.34,1.03,22.09,154.54,63.05
23:05:16.873 -> -0.16,-0.26,1.14,17.94,104.25,42.30
23:05:16.969 -> -0.30,-0.21,1.18,22.03,52.80,20.69
23:05:17.065 -> -0.31,-0.19,1.22,9.03,-0.06,-2.26
