12:22:05.018 -> -0.27,0.02,0.97,5.98,1.89,-0.43
12:22:05.114 -> -0.35,0.03,0.97,6.90,-5.80,3.72
12:22:05.209 -> -0.24,0.11,1.00,16.72,-8.24,2.69
12:22:05.311 -> -0.11,0.13,0.95,10.86,-8.00,-4.70
12:22:05.398 -> -0.06,0.16,0.95,7.93,-14.47,-14.65
12:22:05.493 -> -0.02,0.16,0.99,12.57,-20.20,-22.64
12:22:05.594 -> 0.06,0.18,0.98,4.70,-15.14,-22.34
12:22:05.737 -> 0.09,0.21,0.93,0.61,-8.00,-10.93
12:22:05.829 -> 0.12,0.22,0.94,-8.06,3.78,4.46
12:22:05.914 -> 0.09,0.20,0.95,-6.53,12.39,12.94
12:22:06.009 -> 0.02,0.17,1.04,29.05,18.37,15.01
12:22:06.139 -> -0.11,0.11,1.09,-2.62,29.36,21.12
12:22:06.234 -> -0.21,0.16,0.91,-6.59,30.82,23.99
12:22:06.330 -> -0.31,0.17,0.91,-0.18,14.89,17.88
12:22:06.426 -> -0.35,0.23,0.91,1.22,2.38,8.36
12:22:06.522 -> -0.38,0.19,0.93,1.40,-2.62,-2.75
12:22:06.618 -> -0.31,0.19,0.95,-6.23,-6.96,-8.61
12:22:06.714 -> -0.31,0.17,0.97,-13.67,-17.76,-16.42
12:22:06.810 -> -0.20,0.14,0.98,8.36,-27.65,-25.15
12:22:06.907 -> -0.06,0.14,1.00,25.39,-32.59,-29.54
12:22:07.003 -> 0.04,0.21,0.94,12.27,-25.63,-29.91
12:22:07.099 -> 0.13,0.24,0.99,26.43,-17.27,-17.15
12:22:07.194 -> 0.11,0.30,0.95,-0.24,-10.13,-12.88
12:22:07.328 -> 0.16,0.31,0.94,6.59,3.97,4.58
12:22:07.423 -> 0.10,0.31,0.97,-19.29,17.64,13.85
12:22:07.521 -> 0.05,0.25,0.97,-23.32,33.14,16.24
12:22:07.617 -> -0.04,0.21,0.98,-8.30,34.42,20.39
12:22:07.714 -> -0.20,0.19,0.95,-22.89,29.66,10.80
12:22:07.810 -> -0.24,0.14,0.94,-6.71,9.77,1.10
12:22:07.906 -> -0.30,0.10,0.97,1.46,0.73,-0.49
12:22:08.003 -> -0.32,0.12,0.98,2.26,-3.23,-2.56
12:22:08.108 -> -0.27,0.11,0.95,2.38,-3.85,-0.06
12:22:08.205 -> -0.28,0.13,0.97,5.00,-10.01,1.83
12:22:08.301 -> -0.25,0.13,1.00,3.72,-15.44,-1.46
12:22:08.397 -> -0.17,0.14,0.97,4.46,-17.94,-9.16
12:22:08.493 -> -0.08,0.14,1.00,9.83,-25.70,-15.63
12:22:08.636 -> 0.06,0.19,1.01,19.47,-18.62,-20.39
12:22:08.732 -> 0.12,0.25,0.93,8.48,-8.85,-15.99
12:22:08.828 -> 0.09,0.31,0.94,14.59,-4.03,-7.93
12:22:08.923 -> 0.11,0.28,0.94,-3.23,3.78,0.00
12:22:09.020 -> 0.10,0.25,0.95,0.61,12.88,12.94
12:22:09.117 -> 0.07,0.24,0.97,-20.63,26.92,17.88
12:22:09.212 -> -0.08,0.23,0.89,-27.10,22.71,14.53
12:22:09.308 -> -0.13,0.17,0.99,-11.84,19.71,14.47
12:22:09.396 -> -0.25,0.14,0.99,-8.79,17.40,4.88
12:22:09.492 -> -0.29,0.13,0.98,-1.71,6.41,-0.06
12:22:09.635 -> -0.33,0.11,0.98,1.34,1.95,-0.92
12:22:09.730 -> -0.26,0.10,0.95,-1.59,0.06,-0.12
12:22:09.826 -> -0.29,0.11,0.96,1.83,-4.88,4.09
12:22:09.923 -> -0.28,0.12,0.98,-6.04,-12.51,-0.06
12:22:10.019 -> -0.21,0.12,0.99,11.54,-16.11,-2.81
12:22:10.115 -> -0.08,0.16,1.00,16.05,-18.68,-9.34
12:22:10.211 -> -0.03,0.19,1.00,15.01,-19.84,-16.85
12:22:10.308 -> 0.05,0.26,0.95,11.90,-15.50,-20.08
12:22:10.402 -> 0.08,0.24,0.96,1.77,-9.03,-12.88
12:22:10.498 -> 0.08,0.27,0.94,-6.23,-2.56,-6.47
12:22:10.592 -> 0.11,0.26,0.96,3.11,7.32,6.84
12:22:10.737 -> 0.06,0.26,0.97,-10.50,19.96,13.85
12:22:10.833 -> 0.03,0.18,0.98,-9.70,33.81,24.60
12:22:10.928 -> -0.11,0.24,0.97,0.73,37.72,24.17
12:22:11.024 -> -0.25,0.19,0.92,-18.68,28.26,10.93
12:22:11.121 -> -0.31,0.17,0.90,-12.82,13.43,-15.26
12:22:11.217 -> -0.39,0.17,0.97,-1.53,-0.12,-4.76
12:22:11.313 -> -0.35,0.11,0.96,1.59,1.59,-7.45
12:22:11.399 -> -0.32,0.12,0.93,0.37,1.10,-1.65
12:22:11.496 -> -0.38,0.14,0.93,-2.44,-9.09,-3.54
12:22:11.640 -> -0.34,0.10,0.97,-1.46,-19.53,-9.09
12:22:11.736 -> -0.29,0.11,0.97,19.23,-26.12,-14.40
12:22:11.831 -> -0.08,0.13,1.00,19.71,-32.04,-22.22
12:22:11.929 -> 0.01,0.21,0.97,25.21,-24.48,-22.46
12:22:12.024 -> 0.10,0.32,0.93,18.80,-17.03,-20.63
12:22:12.114 -> 0.08,0.31,0.90,-5.25,-4.21,-5.86
12:22:12.211 -> 0.10,0.28,0.96,-5.86,7.20,6.23
12:22:12.293 -> 0.09,0.20,1.00,-17.40,23.25,22.95
12:22:12.437 -> 0.06,0.18,1.00,-15.20,38.76,30.76
12:22:12.534 -> -0.08,0.21,0.94,-20.51,37.41,22.46
12:22:12.629 -> -0.30,0.07,0.96,-18.98,22.09,3.60
12:22:12.725 -> -0.40,0.07,0.99,-5.43,8.85,-1.22
12:22:12.822 -> -0.37,0.09,0.94,3.78,3.36,-2.50
12:22:12.917 -> -0.35,0.09,0.94,-0.67,2.38,-2.69
12:22:13.012 -> -0.38,0.08,0.94,-0.67,-0.31,0.00
12:22:13.106 -> -0.42,0.09,0.96,0.85,-3.72,0.49
12:22:13.203 -> -0.38,0.07,0.95,0.79,-15.44,-1.28
12:22:13.299 -> -0.23,0.12,0.88,46.14,-29.91,-10.99
12:22:13.434 -> -0.08,0.22,0.93,33.20,-37.23,-18.19
12:22:13.529 -> 0.02,0.27,0.94,16.17,-31.37,-24.05
12:22:13.624 -> 0.09,0.25,0.96,-4.64,-19.23,-23.50
12:22:13.720 -> 0.09,0.28,0.95,-13.12,-1.89,-4.70
12:22:13.816 -> 0.08,0.28,0.96,-8.48,9.77,10.86
12:22:13.912 -> 0.08,0.26,0.95,-22.22,27.28,22.83
12:22:14.008 -> 0.01,0.19,0.99,-13.24,41.08,28.56
12:22:14.106 -> -0.18,0.16,0.96,-27.89,38.70,18.86
12:22:14.203 -> -0.32,0.12,0.96,-22.64,27.53,5.31
12:22:14.298 -> -0.46,0.09,0.94,-11.96,7.75,-4.39
12:22:14.394 -> -0.48,0.06,0.95,9.64,-3.72,-5.62
12:22:14.539 -> -0.36,0.05,0.93,6.59,-3.48,-1.89
12:22:14.635 -> -0.38,0.09,0.91,-0.37,-6.41,0.55
12:22:14.730 -> -0.44,0.10,0.95,-11.96,-18.37,-9.64
