12:10:58.826 -> -0.09,0.24,0.96,0.61,-2.93,-1.95
12:10:58.922 -> -0.08,0.24,0.97,-6.16,-3.66,-2.50
12:10:59.028 -> -0.06,0.18,0.98,-11.96,-2.69,-0.92
12:10:59.109 -> -0.07,0.19,0.99,75.01,3.36,8.00
12:10:59.206 -> -0.04,0.38,0.93,113.71,8.97,13.61
12:10:59.308 -> -0.06,0.61,0.78,155.27,13.00,11.96
12:10:59.403 -> -0.06,0.85,0.50,131.41,4.27,10.44
12:10:59.499 -> -0.03,0.93,0.36,102.17,0.12,13.98
12:10:59.596 -> 0.03,1.02,0.20,90.33,4.39,17.27
12:10:59.692 -> 0.00,0.99,0.12,28.63,4.76,5.43
12:10:59.788 -> 0.02,0.96,0.07,23.19,5.49,4.82
12:10:59.883 -> 0.02,1.03,0.00,1.95,5.31,0.61
12:11:00.011 -> 0.04,1.07,0.02,-35.03,1.16,-5.19
12:11:00.106 -> 0.01,1.07,0.21,-231.69,-6.90,-18.19
12:11:00.202 -> -0.04,0.73,0.61,-203.80,0.55,-24.54
12:11:00.298 -> -0.05,0.48,0.85,-144.96,0.98,-16.42
12:11:00.394 -> -0.07,0.26,0.94,-71.53,2.26,-14.16
12:11:00.489 -> -0.07,0.13,0.96,-73.97,-8.73,-16.05
12:11:00.586 -> -0.05,0.12,1.01,-20.75,-1.71,-9.03
12:11:00.729 -> -0.06,-0.01,1.02,6.41,-2.01,-5.49
12:11:00.825 -> -0.06,0.02,1.01,26.67,0.55,-0.37
12:11:00.921 -> -0.06,0.09,1.02,64.58,3.60,5.80
12:11:01.017 -> -0.07,0.25,0.93,164.79,9.95,18.49
12:11:01.113 -> -0.04,0.68,0.75,178.34,12.51,18.13
12:11:01.209 -> -0.02,0.82,0.53,119.02,16.78,13.18
12:11:01.294 -> -0.01,0.93,0.21,160.34,16.66,20.57
12:11:01.390 -> 0.01,0.92,-0.01,85.45,10.80,17.40
12:11:01.486 -> 0.04,1.06,-0.18,36.56,-0.43,6.65
12:11:01.629 -> 0.06,1.05,-0.18,14.59,-1.77,3.30
12:11:01.725 -> 0.07,1.00,-0.14,-7.08,-6.35,-3.30
12:11:01.820 -> 0.05,1.11,-0.12,-61.28,-4.21,-10.56
12:11:01.915 -> 0.00,0.95,0.21,-167.85,-7.51,-19.29
12:11:02.008 -> -0.02,0.61,0.59,-168.15,-5.80,-23.32
12:11:02.100 -> -0.01,0.37,0.84,-174.19,-11.23,-20.45
12:11:02.193 -> -0.03,0.10,0.99,-122.92,-9.70,-14.53
12:11:02.285 -> -0.03,0.05,0.99,-96.25,-5.62,-12.15
12:11:02.429 -> -0.04,-0.03,0.98,-42.05,-2.01,-9.16
12:11:02.526 -> -0.02,-0.20,0.99,-44.74,-3.17,-8.30
12:11:02.622 -> -0.04,-0.13,0.98,19.23,0.24,-1.77
12:11:02.717 -> -0.02,-0.22,1.02,8.42,0.00,-1.89
12:11:02.814 -> -0.03,-0.12,1.02,14.16,1.83,1.77
12:11:02.902 -> -0.04,-0.04,1.02,35.46,5.62,4.70
12:11:02.998 -> -0.05,0.12,0.98,189.39,15.99,18.07
12:11:03.121 -> -0.05,0.53,0.82,228.52,16.97,16.78
12:11:03.216 -> -0.04,0.71,0.66,194.95,14.34,12.70
12:11:03.300 -> -0.05,0.94,0.30,168.27,17.64,13.43
12:11:03.395 -> -0.04,0.98,0.06,67.02,10.19,14.59
