12:17:51.093 -> -0.50,0.03,0.86,0.61,0.31,-0.49
12:17:51.189 -> -0.50,0.02,0.86,0.24,0.31,-0.61
12:17:51.332 -> -0.50,0.02,0.86,1.34,0.43,-0.24
12:17:51.428 -> -0.50,0.03,0.86,-0.18,0.24,-0.92
12:17:51.524 -> -0.50,0.04,0.86,-0.06,0.37,-0.67
12:17:51.620 -> -0.50,0.03,0.86,0.92,0.24,-0.49
12:17:51.716 -> -0.50,0.03,0.86,-0.43,0.61,-0.49
12:17:51.799 -> -0.50,0.02,0.86,-0.43,0.43,-1.04
12:17:51.894 -> -0.51,0.03,0.86,0.31,-0.06,-1.16
12:17:51.989 -> -0.51,0.03,0.86,-0.06,0.49,-0.61
12:17:52.132 -> -0.50,0.03,0.86,0.73,0.31,-0.73
12:17:52.228 -> -0.51,0.06,0.86,0.79,0.12,-0.79
12:17:52.325 -> -0.50,0.03,0.86,-0.73,0.43,-0.55
12:17:52.420 -> -0.50,0.03,0.86,-0.67,0.37,-0.37
12:17:52.517 -> -0.50,0.03,0.86,-0.06,0.73,-0.37
12:17:52.613 -> -0.50,0.03,0.86,0.24,0.06,-1.28
12:17:52.709 -> -0.50,0.04,0.86,0.55,0.06,-1.34
12:17:52.807 -> -0.50,0.04,0.86,-0.31,0.43,-0.55
12:17:52.902 -> -0.50,0.03,0.86,-1.28,0.37,-0.61
12:17:52.999 -> -0.50,0.04,0.86,0.31,0.55,-0.12
12:17:53.098 -> -0.49,0.03,0.86,0.67,0.18,-0.98
12:17:53.193 -> -0.50,0.03,0.86,-0.12,0.18,-0.79
12:17:53.290 -> -0.50,0.04,0.86,0.31,0.31,-0.79
12:17:53.434 -> -0.50,0.04,0.86,0.12,0.24,-0.85
12:17:53.530 -> -0.50,0.03,0.86,-0.24,0.49,-0.73
12:17:53.625 -> -0.50,0.04,0.86,-0.79,0.49,-0.67
12:17:53.721 -> -0.50,0.03,0.86,-0.49,0.18,-1.04
12:17:53.808 -> -0.50,0.03,0.86,-0.24,0.31,-0.55
12:17:53.904 -> -0.50,0.04,0.86,0.73,0.37,-0.49
12:17:53.996 -> -0.50,0.03,0.86,-0.24,0.31,-0.49
12:17:54.091 -> -0.50,0.04,0.86,0.06,0.49,-0.85
12:17:54.236 -> -0.50,0.03,0.86,-0.49,0.06,-1.22
12:17:54.331 -> -0.50,0.03,0.86,0.18,0.49,-0.43
12:17:54.428 -> -0.50,0.04,0.86,0.06,0.12,-0.92
12:17:54.522 -> -0.50,0.04,0.86,-0.06,0.49,-0.37
12:17:54.617 -> -0.50,0.06,0.86,-0.18,0.49,-0.49
12:17:54.713 -> -0.50,0.04,0.86,0.06,0.37,-0.79
12:17:54.810 -> -0.50,0.04,0.86,0.12,0.24,-1.04
12:17:54.905 -> -0.50,0.04,0.86,0.37,0.49,-0.79
12:17:55.003 -> -0.50,0.04,0.86,0.12,0.12,-1.22
12:17:55.099 -> -0.50,0.04,0.86,0.49,0.18,-1.04
12:17:55.194 -> -0.50,0.04,0.86,0.12,0.43,-0.49
12:17:55.289 -> -0.50,0.04,0.86,-0.31,0.49,-0.49
12:17:55.434 -> -0.50,0.04,0.86,0.18,0.31,-0.67
12:17:55.517 -> -0.50,0.04,0.86,0.18,0.31,-0.61
12:17:55.634 -> -0.50,0.04,0.86,0.06,0.37,-0.92
12:17:55.729 -> -0.50,0.04,0.86,-0.37,0.31,-0.73
12:17:55.810 -> -0.50,0.04,0.86,-0.43,0.12,-0.79
12:17:55.905 -> -0.50,0.03,0.86,0.31,0.43,-0.55
12:17:56.001 -> -0.50,0.03,0.86,0.79,0.55,-0.49
12:17:56.097 -> -0.50,0.04,0.86,-0.24,0.12,-0.98
12:17:56.191 -> -0.50,0.04,0.86,-0.43,0.31,-0.61
12:17:56.334 -> -0.50,0.04,0.86,-0.12,0.24,-0.73
12:17:56.429 -> -0.50,0.03,0.86,0.18,0.37,-0.55
12:17:56.523 -> -0.50,0.04,0.86,-0.12,0.37,-0.61
