22:51:55.391 -> 0.45,-0.11,0.97,-5.86,6.10,-15.69
22:51:55.485 -> 0.53,-0.08,0.96,-4.27,2.44,-7.81
22:51:55.581 -> 0.51,-0.12,0.93,-2.20,4.27,9.89
22:51:55.676 -> 0.48,-0.18,0.94,-2.20,10.38,19.47
22:51:55.771 -> 0.44,-0.13,0.95,5.31,24.35,13.61
22:51:55.868 -> 0.30,-0.10,0.96,-16.54,40.95,-2.75
22:51:55.997 -> 0.11,-0.09,0.93,-42.54,37.96,-27.59
22:51:56.094 -> -0.03,-0.18,0.94,-19.35,29.05,-38.02
22:51:56.191 -> -0.15,-0.26,0.93,-13.37,21.24,-34.48
22:51:56.286 -> -0.16,-0.26,0.93,0.85,15.50,-21.61
22:51:56.382 -> -0.14,-0.31,0.94,-5.49,9.22,-4.88
22:51:56.478 -> -0.18,-0.32,1.00,4.76,-12.63,16.17
22:51:56.574 -> -0.17,-0.25,0.95,42.97,-29.60,31.56
22:51:56.677 -> -0.08,-0.25,0.92,-10.13,-34.61,43.15
22:51:56.773 -> 0.07,-0.18,0.97,21.79,-52.19,17.70
22:51:56.869 -> 0.29,-0.17,0.92,15.08,-57.62,-6.96
22:51:56.998 -> 0.47,-0.10,0.86,8.30,-28.44,-14.53
22:51:57.092 -> 0.56,-0.10,0.89,10.44,-7.51,-17.58
22:51:57.187 -> 0.63,-0.11,0.89,0.24,9.58,-7.14
22:51:57.283 -> 0.58,-0.12,0.90,1.95,5.37,-1.59
22:51:57.378 -> 0.54,-0.09,0.89,8.79,7.32,10.31
22:51:57.473 -> 0.50,-0.07,0.92,7.14,16.54,13.12
22:51:57.569 -> 0.38,-0.09,0.97,-19.17,29.24,3.72
22:51:57.665 -> 0.19,-0.09,0.94,-15.32,35.77,-15.93
22:51:57.761 -> 0.06,-0.10,0.95,-10.50,42.60,-23.93
22:51:57.904 -> -0.01,-0.14,1.00,-15.56,35.03,-28.50
22:51:58.002 -> -0.10,-0.21,0.97,-7.20,25.15,-34.18
22:51:58.097 -> -0.16,-0.27,0.96,2.69,10.93,-18.07
22:51:58.192 -> -0.15,-0.28,0.93,3.91,-7.69,10.93
22:51:58.288 -> -0.21,-0.26,0.94,45.35,-33.63,33.26
22:51:58.384 -> -0.10,-0.09,0.98,3.48,-41.38,46.88
22:51:58.480 -> 0.09,-0.21,0.98,1.71,-42.97,26.00
22:51:58.576 -> 0.38,-0.12,0.94,59.75,-33.14,-11.05
22:51:58.673 -> 0.33,-0.02,1.01,4.15,-16.78,-14.40
22:51:58.758 -> 0.48,0.05,0.96,6.84,-13.24,-21.06
22:51:58.900 -> 0.55,0.08,0.92,-7.45,0.00,-8.54
22:51:58.990 -> 0.57,-0.04,0.90,-2.81,4.03,1.10
22:51:59.087 -> 0.55,-0.01,0.91,-8.24,5.80,8.91
22:51:59.184 -> 0.48,0.00,0.93,-11.41,20.26,17.64
22:51:59.278 -> 0.32,0.01,0.99,-25.09,25.94,10.25
22:51:59.375 -> 0.14,-0.06,0.99,-30.21,27.04,-5.55
22:51:59.456 -> 0.03,-0.23,0.95,-24.35,26.43,-15.01
