12:14:54.690 -> -0.07,0.31,0.94,36.80,5.25,2.69
12:14:54.833 -> -0.07,0.44,0.88,25.45,5.00,3.72
12:14:54.929 -> -0.08,0.45,0.88,-14.65,-0.55,-0.12
12:14:55.025 -> -0.08,0.43,0.90,0.92,0.31,0.00
12:14:55.120 -> -0.08,0.47,0.89,-227.60,-15.44,-24.96
12:14:55.216 -> 0.02,-0.52,0.74,-312.74,-34.85,-44.07
12:14:55.312 -> 0.04,-0.68,0.78,-62.74,-4.39,-8.48
12:14:55.408 -> 0.05,-0.66,0.66,-104.61,-9.34,-16.05
12:14:55.504 -> 0.12,-0.86,0.41,-164.67,-21.12,-11.23
12:14:55.600 -> 0.09,-0.97,0.19,-118.29,-13.37,-4.27
12:14:55.696 -> 0.11,-1.10,-0.02,-73.43,-10.62,2.93
12:14:55.793 -> 0.12,-1.14,-0.06,10.44,-1.04,2.56
12:14:55.890 -> 0.11,-1.16,0.02,48.58,-0.18,12.33
12:14:56.034 -> -0.03,-0.88,0.24,361.02,36.99,42.11
12:14:56.129 -> -0.06,-0.17,0.76,387.39,6.53,29.30
12:14:56.225 -> -0.06,0.47,0.92,123.05,-1.89,8.06
12:14:56.330 -> -0.07,0.30,0.94,28.08,-0.37,3.42
12:14:56.426 -> -0.05,0.39,0.91,0.24,0.12,3.54
12:14:56.523 -> -0.05,0.41,0.91,-23.19,1.04,1.53
12:14:56.617 -> -0.05,0.32,0.92,-190.49,-11.96,-20.81
12:14:56.699 -> -0.01,-0.27,0.92,-211.55,-18.62,-25.88
12:14:56.797 -> 0.03,-0.61,0.77,-202.21,-18.43,-28.63
12:14:56.893 -> 0.12,-0.92,0.53,-150.51,-18.62,-24.23
12:14:56.990 -> 0.14,-0.97,0.35,-96.01,-15.93,-15.69
12:14:57.087 -> 0.17,-1.04,0.16,-93.63,-15.50,-17.21
12:14:57.231 -> 0.22,-1.06,0.10,-29.97,-2.44,-6.29
12:14:57.327 -> 0.21,-1.05,0.14,10.56,2.38,4.52
12:14:57.423 -> 0.21,-1.10,0.18,82.76,20.02,16.72
12:14:57.520 -> 0.11,-1.05,0.31,293.82,37.96,49.99
12:14:57.615 -> 0.03,-0.35,0.85,308.04,22.28,31.98
12:14:57.710 -> -0.02,0.07,0.94,251.95,14.89,20.45
12:14:57.806 -> -0.03,0.56,0.83,102.91,6.23,5.19
12:14:57.903 -> -0.05,0.62,0.76,36.93,1.95,2.20
12:14:57.999 -> -0.04,0.63,0.80,-60.55,-2.99,-1.28
12:14:58.093 -> -0.03,0.41,0.91,-123.60,-5.07,-4.64
12:14:58.189 -> -0.03,0.26,0.97,-166.93,-7.87,-13.00
12:14:58.287 -> 0.00,-0.24,0.88,-262.76,-19.59,-24.48
12:14:58.429 -> 0.06,-0.56,0.70,-222.96,-18.01,-30.82
12:14:58.525 -> 0.11,-0.84,0.40,-175.29,-15.87,-28.69
12:14:58.620 -> 0.17,-0.98,0.08,-152.16,-24.84,-22.40
12:14:58.707 -> 0.21,-1.08,-0.08,-56.88,-14.34,-3.23
12:14:58.804 -> 0.18,-1.01,-0.12,-4.15,-1.04,2.44
12:14:58.899 -> 0.19,-1.05,-0.09,18.68,0.49,5.86
12:14:58.995 -> 0.16,-1.16,-0.01,230.59,38.15,38.09
12:14:59.091 -> 0.05,-0.64,0.57,400.21,32.65,31.01
12:14:59.187 -> 0.01,-0.23,0.88,214.17,15.20,20.75
12:14:59.331 -> -0.02,0.17,0.93,135.68,7.81,11.17
12:14:59.426 -> -0.02,0.25,0.88,142.03,5.07,12.08
12:14:59.522 -> -0.03,0.63,0.79,126.16,5.31,10.74
12:14:59.619 -> -0.02,0.73,0.76,-60.24,-2.32,0.55
12:14:59.715 -> -0.03,0.50,0.86,-43.46,1.40,-0.92
12:14:59.812 -> -0.01,0.50,0.87,-31.56,2.44,2.99
12:14:59.909 -> -0.01,0.43,0.88,-217.29,-9.58,-14.04
12:15:00.003 -> -0.00,-0.31,0.95,-233.34,-20.32,-26.79
12:15:00.097 -> 0.10,-0.75,0.73,-237.06,-24.54,-30.09
12:15:00.192 -> 0.14,-1.04,0.34,-152.40,-28.93,-14.53
12:15:00.328 -> 0.16,-1.10,0.17,-65.73,-12.27,-11.29
12:15:00.414 -> 0.21,-1.05,0.06,-14.16,-0.73,-0.24
12:15:00.510 -> 0.21,-1.00,0.03,3.42,3.42,2.32
12:15:00.607 -> 0.21,-1.21,0.07,69.09,19.71,8.06
12:15:00.687 -> 0.11,-0.99,0.31,296.63,34.67,43.21
12:15:00.822 -> 0.04,-0.31,0.80,313.60,20.26,23.68
12:15:00.917 -> -0.02,0.17,0.96,209.47,8.91,9.34
12:15:01.034 -> -0.02,0.44,0.88,155.58,8.36,7.69
12:15:01.119 -> -0.02,0.62,0.76,53.65,4.15,3.66
12:15:01.216 -> -0.03,0.49,0.85,-55.79,-2.87,-2.93
12:15:01.310 -> -0.01,0.38,0.89,-31.74,1.95,2.01
12:15:01.407 -> -0.03,0.47,0.88,-115.91,-1.71,-5.43
12:15:01.502 -> 0.00,0.05,0.89,-328.98,-20.63,-29.66
12:15:01.597 -> 0.05,-0.64,0.78,-225.46,-17.76,-34.30
12:15:01.727 -> 0.15,-0.92,0.22,-262.88,-32.90,-35.16
12:15:01.823 -> 0.20,-1.11,0.09,-72.27,-5.13,-14.53
12:15:01.919 -> 0.22,-0.97,-0.09,-37.17,-9.58,0.79
12:15:02.015 -> 0.20,-0.94,-0.07,-2.01,0.00,-2.81
12:15:02.122 -> 0.19,-0.99,-0.06,23.07,5.80,0.31
12:15:02.218 -> 0.25,-1.36,-0.04,166.50,32.04,35.03
12:15:02.315 -> 0.04,-0.56,0.45,433.72,34.48,45.35
12:15:02.413 -> 0.02,-0.14,0.90,204.90,9.52,15.81
12:15:02.507 -> -0.02,0.14,0.95,131.47,3.72,6.65
12:15:02.603 -> 0.01,0.43,0.88,120.00,2.50,5.00
12:15:02.699 -> 0.01,0.69,0.80,69.58,1.59,3.54
12:15:02.787 -> 0.01,0.64,0.81,-10.86,-1.89,-0.92
12:15:02.930 -> 0.01,0.64,0.80,-25.02,0.67,-1.95
12:15:03.014 -> 0.01,0.63,0.81,-86.98,1.10,-3.85
12:15:03.109 -> 0.00,0.10,0.96,-235.96,-11.29,-19.84
12:15:03.205 -> 0.05,-0.40,0.97,-186.28,-11.84,-15.87
12:15:03.301 -> 0.09,-0.67,0.74,-154.11,-10.44,-18.13
12:15:03.398 -> 0.12,-0.82,0.55,-117.55,-8.30,-23.25
12:15:03.495 -> 0.17,-0.85,0.36,-109.01,-10.62,-24.29
12:15:03.591 -> 0.21,-1.05,0.11,-37.60,-2.08,-8.54
12:15:03.687 -> 0.22,-1.04,0.05,-20.69,-3.36,-2.99
12:15:03.831 -> 0.24,-1.09,0.03,-3.23,-4.76,4.52
12:15:03.928 -> 0.23,-1.20,0.07,107.67,14.59,25.76
12:15:04.023 -> 0.09,-0.73,0.49,325.87,33.26,32.29
12:15:04.118 -> 0.06,-0.37,0.87,218.51,14.83,25.09
12:15:04.214 -> 0.00,-0.02,0.98,180.05,10.44,14.04
12:15:04.310 -> 0.01,0.38,0.89,108.76,2.93,2.26
12:15:04.404 -> 0.02,0.46,0.90,121.34,2.75,5.49
12:15:04.498 -> 0.01,0.76,0.71,52.49,3.54,3.11
12:15:04.603 -> 0.03,0.68,0.76,-13.00,-0.37,0.24
12:15:04.700 -> 0.02,0.65,0.77,-23.25,0.92,-1.89
12:15:04.787 -> -0.00,0.59,0.84,-277.53,-10.86,-17.88
12:15:04.930 -> 0.02,-0.23,0.94,-278.26,-17.58,-21.67
12:15:05.026 -> 0.05,-0.47,0.83,-176.51,-16.05,-17.03
12:15:05.122 -> 0.12,-0.78,0.58,-185.55,-20.08,-15.38
12:15:05.218 -> 0.15,-0.97,0.37,-119.20,-17.76,-14.95
12:15:05.315 -> 0.21,-1.04,0.24,-51.64,-4.39,-7.26
